              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2009-03-02 12:00:00,   2009-03-02 16:00:00,       4,     783,    0.30,    3.54,    7.14,    3.39,    7.28
2009-04-04 07:00:00,   2009-04-04 22:00:00,      15,      56,    0.06,    3.57,   12.12,    3.25,   10.55
2009-04-07 06:00:00,   2009-04-07 21:00:00,      15,    2573,    0.26,    3.54,   10.00,    3.20,   10.60
2009-07-24 02:00:00,   2009-07-24 07:00:00,       5,     706,    0.07,    4.12,   10.00,    3.58,    8.30
2009-08-22 17:00:00,   2009-08-23 12:00:00,      19,     430,    0.28,    5.25,   14.81,    3.76,   16.27
2009-09-10 10:00:00,   2009-09-11 23:00:00,      37,     391,    0.31,    3.89,    8.33,    3.42,    8.64
2009-09-28 06:00:00,   2009-09-28 09:00:00,       3,     424,    0.08,    3.27,    9.09,    3.19,    9.39
2009-10-16 01:00:00,   2009-10-17 02:00:00,      25,      29,    0.55,    4.47,    8.33,    3.76,    9.59
2009-10-18 07:00:00,   2009-10-19 03:00:00,      20,     151,    0.44,    4.31,    9.09,    3.62,    8.79
2009-10-25 10:00:00,   2009-10-25 13:00:00,       3,      86,    0.09,    3.12,   10.00,    3.08,   10.00
2009-10-29 03:00:00,   2009-10-29 14:00:00,      11,     327,    0.50,    3.52,   10.81,    3.28,    9.20
2009-11-12 05:00:00,   2009-11-15 15:00:00,      82,    1993,    0.39,    5.90,   12.90,    4.28,   10.84
2010-02-06 16:00:00,   2010-02-07 02:00:00,      10,      88,    0.22,    3.80,    7.69,    3.48,    7.70
2010-02-10 18:00:00,   2010-02-11 06:00:00,      12,     310,    0.56,    4.32,    9.09,    3.80,    8.17
2010-02-24 04:00:00,   2010-02-24 22:00:00,      18,      29,    0.35,    4.44,   10.00,    3.58,    9.60
2010-02-26 03:00:00,   2010-02-27 00:00:00,      21,     113,    0.49,    5.99,   10.00,    4.18,   10.07
2010-03-03 17:00:00,   2010-03-04 00:00:00,       7,     230,    0.60,    3.45,    7.69,    3.24,    7.81
2010-03-13 14:00:00,   2010-03-16 06:00:00,      64,     333,    0.51,    6.95,   12.90,    4.14,   11.21
2010-03-30 03:00:00,   2010-03-31 14:00:00,      35,    3475,    0.33,    4.90,   12.90,    3.90,   11.63
2010-08-23 09:00:00,   2010-08-24 12:00:00,      27,     240,     nan,    4.09,    8.33,    3.47,    8.35
2010-09-03 12:00:00,   2010-09-04 06:00:00,      18,     320,    0.41,    5.17,   16.00,    4.20,   15.10
2010-09-17 14:00:00,   2010-09-17 17:00:00,       3,     324,    0.19,    3.14,    9.09,    3.09,    9.09
2010-10-01 05:00:00,   2010-10-02 02:00:00,      21,      50,    0.14,    4.20,   11.43,    3.60,   11.34
2010-10-04 04:00:00,   2010-10-05 05:00:00,      25,     255,    0.43,    4.01,    7.14,    3.52,    8.15
2010-10-15 20:00:00,   2010-10-16 02:00:00,       6,     362,   -0.19,    3.68,    7.69,    3.33,    7.61
2010-10-31 04:00:00,   2010-10-31 08:00:00,       4,     111,   -0.18,    3.36,    7.69,    3.24,    7.85
